,artistName,trackName,minutes_played
1,ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),172.35318333333333
46,Average White Band,School Boy Crush,142.3997
60,Ben Hauke,Get up to Get Down,168.91938333333334
122,CHIC,What About Me,100.64359999999999
129,Charlie Hunter,Fine Corinthian Leather,107.47958333333332
160,Creedence Clearwater Revival,I Heard It Through The Grapevine,198.95291666666665
186,DJ TIRED,Splittin' Wigs,113.89768333333333
187,DJ TIRED,Think Of U,117.38885
230,Dire Straits,Lions,116.06941666666665
252,Donny Hathaway,Voices Inside (Everything Is Everything),278.45373333333333
295,Eric Clapton,I Shot The Sheriff,104.79323333333332
326,Folamour,Just a Lonely Night Eating Sushis,189.1864
350,Galactic,Church,147.75218333333333
374,Genesis,That's All - Remastered 2007,176.35891666666666
391,Grateful Dead,Shakedown Street - 2013 Remaster,101.75766666666667
432,Honeydripper,All About You,255.84183333333334
448,Ian Dury,Hit Me With Your Rhythm Stick,174.63446666666667
698,Michael Haggins,Daybreak,101.72123333333333
732,Nikitch,ZBRA,128.29806666666667
943,Roxy Music,Love Is The Drug,136.43553333333332
1048,Talking Heads,Psycho Killer - 2005 Remaster,153.81048333333334
1050,Talking Heads,Slippery People - 2005 Remaster,118.48904999999999
1051,Talking Heads,Take Me to the River - 2005 Remaster,200.25423333333333
1053,Talking Heads,This Must Be the Place (Naive Melody) - 2005 Remaster,217.6081
1072,The Alan Parsons Project,Eye In The Sky,219.3262333333333
1073,The Alan Parsons Project,I Wouldn't Want to Be Like You,123.91188333333332
1074,The Alan Parsons Project,Mammagamma - Instrumental,125.34983333333334
1076,The Alan Parsons Project,Snake Eyes,118.87209999999999
1087,The Brothers Johnson,I'll Be Good To You,100.41983333333334
1089,The Brothers Johnson,Strawberry Letter 23,135.90069999999997
1124,The Gaddabouts,River Rises,202.73813333333334
1134,The Greyboy Allstars,V-Neck Sweater,118.20960000000001
1194,The New Mastersounds,MRG,105.45441666666666
1309,Weezer,Say It Ain't So,206.87088333333335
